Ref,Producto,Marca,Categoria,Proveedor,Canales
1010,Cábano Festy,Festy Pet,SNACKS,Festy Pet,"C1,C2"
1011,Cábano Festy,Festy Pet,SNACKS,Festy Pet,"C1,C2"
1012,Cábano Ranchero,Festy Pet,SNACKS,Festy Pet,"C1,C2"
1013,Salchicha,Festy Pet,SNACKS,Festy Pet,"C1,C2"
1014,Cábano Loky (Línea económica),Festy Pet,SNACKS,Festy Pet,"C1,C2"
1015,Cábano Duro,Festy Pet,SNACKS,Festy Pet,"C1,C2"
1016,Cábano Duro,Festy Pet,SNACKS,Festy Pet,"C1,C2"
1017,"Chorizo (Carne, soya y vegetal)",Festy Pet,SNACKS,Festy Pet,"C1,C2"
1018,Recortes (Mezcla de productos),Festy Pet,SNACKS,Festy Pet,"C1,C2"
1019,Recortes (Mezcla de productos),Festy Pet,SNACKS,Festy Pet,"C1,C2"
Bil1,Albondiga de Carne (750g) 25und,Bilan,ALBONDIGAS,Bilan Naturals Pets,"C1,C3"
Bil2,Albondiga de Pollo (750g) 25und,Bilan,ALBONDIGAS,Bilan Naturals Pets,"C1,C3"
Bil3,Albondiga de Cordero (750g) 25und,Bilan,ALBONDIGAS,Bilan Naturals Pets,"C1,C3"
Bil4,Bocaditos de hígado 70g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil5,Bocaditos de hígado 250g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil6,Galletas Zanahoria Manzana 150g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil7,Galletas Zanahoria Manzana 500g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil8,Cabano Conejo 150g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil9,Cabano Conejo 450g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil10,Cabano Cordero 150g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil11,Cabano Cordero450g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil12,Galletas Higado con quinoa 150g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil13,Galletas Higado con quinoa 500g,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil14,Mini Cabano conejo 50g Gato,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
Bil15,Mini Cabano cordero 50g Gato,Bilan,SNACKS,Bilan Naturals Pets,"C1,C2"
924521,"AD KITTEN X 0,4KG- 1885",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
924522,"AD KITTEN X 1,5KG- 1892",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
962815,AD KITTEN X 10KG - 9866,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
922209,"AD CAT ADULT X 0,4KG- 1939",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
531211,"AD CAT ADULT X 1,5KG- 1946",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
962817,AD CAT ADULT X 10KG- 9170,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
921864,"AD CAT HAIRBALL STERIL.X1,5KG-8649",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
922080,"AD CAT SENSITIVE STERIL.X1,5KG-7886",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
922227,"AD CAT STERILIZED X 0,4KG- 0467",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
577219,"AD CAT STERILIZED ADULT TURKEYX1,5KG- 0474",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
962819,AD CAT ADULT STERILIZED X 10KG-9392,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
2583,"AD CAT STERILIZED JUNIOR X 1,5KG- 4501",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
2584,AD CAT STERILIZED JUNIOR X 10KG- 9187,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
500679,"AD CAT STERILIZED SENIORX1,5KG- 3917",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
921503,"AVET CAT GASTRO. SENSITIVE X1,5KG- 5037",ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
2581,"AVET CAT HYPOALLER. 1,25KG- 1921",ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
2582,"AVET CAT HYPOALLER. 6,5 KG- 1914",ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
598211,"AVET CAT RENAL X1,5KG- 2448",ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
962345,AVET CAT RENAL X8KGKG- 1973,ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
596211,"AVET CAT URINARYX1,5KG- 2400",ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
500982,AVET CAT URINARY X 3KG-9827,ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
596710,AVET CAT URINARY X 8KG -8074,ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
923913,"AVET CAT WEIGHT BAL. 1,5KG- 9132",ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
923938,AVET CAT W BALANCE X 3KG- 9385,ADVANCE VET,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
965780,"AD PUPPY MINI X 0,7KG - 2627",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
923523,"AD PUPPY MINI X 1,5KG- 5233",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
501319,AD PUPPY MINI X 3KG- 0130,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
965800,"AD PUPPY SENSITIVE X 0,7KG- 2894",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
500933,"AD PUPPY SENSITIVE 0,8KG- 9339",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
500934,AD PUPPY SENSITIVE 3KG- 9346,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
920179,AD PUPPY SENSITIVE SR X12-9353,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
965765,"AD DOG ADULT MINI 0,7KG-2030",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
502110,"AD DOG ADULT MINI 0,8KG- 0178",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
923522,"AD DOG ADULT MINI 1,5KG- 5226",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
965767,AD DOG ADULT MINI  X 7KG - 2047,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
923530,"AD DOG LIGHT MINI X 1,5KG- 5301",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
503319,AD DOG LIGHT MINI X 3KG- 0222,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
928020,"AD DOG MINI ADULT LIGHT X7,5KG-0202",ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
509319,AD DOG LIGHT MED X 3KG- 0406,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
923672,AD DOG LIGHT MED X 12KG- 3542,ADVANCE,ALIMENTOS COMPLETOS,LOGUS IMPORTACIONES,C4
